Model Name,Dep Thresh,AND Thresh,Loop Thresh,Perfect Fitting Traces (%),Average Trace Fitness,Precision,Generalization,Node Size,Arc Size,Cyclicity
heu_top100_dep_0.30_and_0.40_loop_0.65,0.3,0.4,0.65,0.0,0.8747082693613557,0.9914230035125988,0.9883240347010848,69,88,0.6811594202898551
heu_top100_dep_0.30_and_0.40_loop_0.90,0.3,0.4,0.9,0.0,0.8747082693613557,0.9914230035125988,0.9883240347010848,69,88,0.6811594202898551
heu_top100_dep_0.30_and_0.40_loop_0.95,0.3,0.4,0.95,0.0,0.8747082693613557,0.9914230035125988,0.9883240347010848,69,88,0.6811594202898551
heu_top100_dep_0.30_and_0.40_loop_0.99,0.3,0.4,0.99,0.0,0.8747082693613557,0.9914230035125988,0.9883240347010848,69,88,0.6811594202898551
heu_top100_dep_0.65_and_0.40_loop_0.30,0.65,0.4,0.3,0.0,0.8747082693613557,0.9914230035125988,0.9883240347010848,69,88,0.6811594202898551
heu_top100_dep_0.65_and_0.40_loop_0.65,0.65,0.4,0.65,0.0,0.8747082693613557,0.9914230035125988,0.9883240347010848,69,88,0.6811594202898551
heu_top100_dep_0.65_and_0.40_loop_0.90,0.65,0.4,0.9,0.0,0.8747082693613557,0.9914230035125988,0.9883240347010848,69,88,0.6811594202898551
heu_top100_dep_0.65_and_0.40_loop_0.95,0.65,0.4,0.95,0.0,0.8747082693613557,0.9914230035125988,0.9883240347010848,69,88,0.6811594202898551
heu_top100_dep_0.65_and_0.40_loop_0.99,0.65,0.4,0.99,0.0,0.8747082693613557,0.9914230035125988,0.9883240347010848,69,88,0.6811594202898551
heu_top100_dep_0.30_and_0.65_loop_0.30,0.3,0.65,0.3,0.0,0.860362871614127,0.9915922314185036,0.9628734453671528,69,88,0.6956521739130435
heu_top100_dep_0.30_and_0.65_loop_0.65,0.3,0.65,0.65,0.0,0.860362871614127,0.9915922314185036,0.9628734453671528,69,88,0.6956521739130435
heu_top100_dep_0.30_and_0.65_loop_0.90,0.3,0.65,0.9,0.0,0.860362871614127,0.9915922314185036,0.9628734453671528,69,88,0.6956521739130435
