Model Name,Dep Thresh,AND Thresh,Loop Thresh,Filtered Perfect Fit (%),Filtered Avg Fitness,Filtered Precision,Filtered Generalization,Complete Perfect Fit (%),Complete Avg Fitness,Complete Precision,Complete Generalization,Node Size,Arc Size,Cyclicity
heu_top100_dep_0.90_and_0.99_loop_0.30,0.9,0.99,0.3,23.4,0.9518741966331111,0.8529475956820411,0.9881703418445432,19.74,0.943750434727795,0.8566782709141392,0.9892329280758854,67,86,0.5522388059701493
heu_top100_dep_0.90_and_0.99_loop_0.65,0.9,0.99,0.65,23.4,0.9518741966331111,0.8529475956820411,0.9881703418445432,19.74,0.943750434727795,0.8566782709141392,0.9892329280758854,67,86,0.5522388059701493
heu_top100_dep_0.90_and_0.99_loop_0.90,0.9,0.99,0.9,23.4,0.9518741966331111,0.8529475956820411,0.9881703418445432,19.74,0.943750434727795,0.8566782709141392,0.9892329280758854,67,86,0.5522388059701493
heu_top100_dep_0.90_and_0.99_loop_0.99,0.9,0.99,0.99,23.4,0.9518741966331111,0.8529475956820411,0.9881703418445432,19.74,0.943750434727795,0.8566782709141392,0.9892329280758854,67,86,0.5522388059701493
heu_top100_dep_0.99_and_0.99_loop_0.30,0.99,0.99,0.3,23.23,0.9506245380957086,0.8435869574233363,0.9883949967820763,19.58,0.9422084555670327,0.847527518672385,0.9894505983459987,64,82,0.53125
heu_top100_dep_0.99_and_0.99_loop_0.65,0.99,0.99,0.65,23.23,0.9506245380957086,0.8435869574233363,0.9883949967820763,19.58,0.9422084555670327,0.847527518672385,0.9894505983459987,64,82,0.53125
heu_top100_dep_0.99_and_0.99_loop_0.90,0.99,0.99,0.9,23.23,0.9506245380957086,0.8435869574233363,0.9883949967820763,19.58,0.9422084555670327,0.847527518672385,0.9894505983459987,64,82,0.53125
heu_top100_dep_0.99_and_0.99_loop_0.99,0.99,0.99,0.99,23.23,0.9506245380957086,0.8435869574233363,0.9883949967820763,19.58,0.9422084555670327,0.847527518672385,0.9894505983459987,64,82,0.53125
heu_top100_dep_0.65_and_0.99_loop_0.30,0.65,0.99,0.3,20.76,0.9452704263560999,0.8565101697619445,0.9637485932854736,17.48,0.937673027057988,0.8596210886271434,0.9647992611701468,66,84,0.5454545454545454
heu_top100_dep_0.65_and_0.99_loop_0.65,0.65,0.99,0.65,20.76,0.9452704263560999,0.8565101697619445,0.9637485932854736,17.48,0.937673027057988,0.8596210886271434,0.9647992611701468,66,84,0.5454545454545454
heu_top100_dep_0.65_and_0.99_loop_0.90,0.65,0.99,0.9,20.76,0.9452704263560999,0.8565101697619445,0.9637485932854736,17.48,0.937673027057988,0.8596210886271434,0.9647992611701468,66,84,0.5454545454545454
heu_top100_dep_0.65_and_0.99_loop_0.99,0.65,0.99,0.99,20.76,0.9452704263560999,0.8565101697619445,0.9637485932854736,17.48,0.937673027057988,0.8596210886271434,0.9647992611701468,66,84,0.5454545454545454
heu_top100_dep_0.30_and_0.99_loop_0.30,0.3,0.99,0.3,19.68,0.9393256308913874,0.8534779851145446,0.9632148509370827,16.59,0.932205795733513,0.8563405455353517,0.9642708880213969,65,82,0.5384615384615384
heu_top100_dep_0.30_and_0.99_loop_0.65,0.3,0.99,0.65,19.68,0.9393256308913874,0.8534779851145446,0.9632148509370827,16.59,0.932205795733513,0.8563405455353517,0.9642708880213969,65,82,0.5384615384615384
